message,label"Looking for a new shipment, send details",1
"Can't wait for the family reunion this summer!",0
"Need to discuss the package delivery discreetly",1
"Had a great time at the concert last night",0
"Urgent: new arrivals need to be processed tonight",1
"Enjoying a relaxing day at the beach",0
"Safe house location confirmed for the new group",1
"Just finished reading an amazing book",0
"Arrange a meeting with the client about the new batch",1
"Planning a birthday surprise for mom",0
"Confidential: need to move them out before dawn",1
"Bought some new clothes for the trip",0
"Secure transportation required immediately",1
"Loved the movie we watched yesterday",0
"New girls coming in, prepare the documents",1
"Cooking dinner with the family tonight",0
"Need urgent assistance with the transfer",1
"Going for a jog in the park",0
"Ensure all phones are untraceable",1
"Meeting friends for coffee this afternoon",0
"Confidential operation, no outsiders allowed",1
"Watching a new series on Netflix",0
"Check the basement for any leftover items",1
"Having a barbecue party this weekend",0
"Notify the guards about the new schedule",1
"Going hiking this weekend",0
"Special delivery tonight, be ready",1
"Just got a new puppy",0
"Inform the boss, new stock has arrived",1
"Can't wait for the holiday break!",0
"All hands on deck for tonight's operation",1
"Decorating the house for Christmas",0
"Use the secret code when calling",1
"Heading to the gym for a workout",0
"Arrange a fake passport for the new recruit",1
"Enjoying a relaxing day off work",0
"Make sure no one sees the documents",1
"Had a blast at the amusement park!",0
"Ensure security at the hideout",1
"Going to the farmer's market today",0
"Send the payment to the usual account",1
"Spending the afternoon painting",0
"Keep the new arrivals out of sight",1
"Planning a trip to the countryside",0
"Move the girls to the safe house",1
"Having a movie night with friends",0
"Destroy any evidence left behind",1
"Visiting the museum today",0
"Coordinate with the driver for pickup",1
"Enjoying lunch at my favorite cafe",0
"Make sure to cover all tracks",1
"Just finished a great workout session",0
"Prepare fake IDs for the new group",1
"Gardening in the backyard today",0
"Emergency: new location needed ASAP",1
"Reading a book by the fireplace",0
"Ensure no phones are used during transport",1
"Going to a yoga class tonight",0
"Brief the team on the new arrivals",1
"Meeting with the book club today",0
"Arrange secure communication channels",1
"Having a picnic at the park",0
"Hide the money in the usual spot",1
"Planning my next vacation",0
"Transport needs to be untraceable",1
"Baking cookies this afternoon",0
"Confirm the bribe with the local official",1
"Watching the sunset at the beach",0
"Check all rooms for hidden cameras",1
"Taking a day off work",0
"Secure all exits, we have a situation",1
"Going shopping for groceries",0
"Make sure the van is clean",1
"Reading the morning newspaper",0
"Urgent: cover for the missing girls",1
"Meeting up with old friends",0
"New recruits arriving tonight, prepare",1
"Going for a drive in the countryside",0
"Don't leave any fingerprints",1
"Having lunch with my parents",0
"Change the plan, we have a leak",1
"Staying in tonight with a good movie",0
"Double-check all security measures",1
"Just finished my morning run",0
"Coordinate the next shipment carefully",1
"Enjoying a quiet evening at home",0
"Move the new batch to location B",1
"Attending a wedding this weekend",0
"Keep all conversations encrypted",1
"Playing board games with the kids",0
"Notify the contact about the delivery",1
"Just got back from vacation",0
"New orders have come in, act quickly",1
"Spending time with family today",0
"Make sure the girls are fed",1
"Attending a concert tonight",0
"Set up the meeting with the buyers",1
"Enjoying a walk in the park",0
"Hide the goods before the police arrive",1
"Going out for dinner with friends",0
"Prepare the fake documents",1
"Visiting the local library",0
"All transactions must be untraceable",1
"Cleaning the house today",0
"Move them to a safer location",1
"Going for a bike ride",0
"Brief the new recruits immediately",1
"Reading my favorite magazine",0
"Secure all communication channels",1
"Visiting family out of town",0
"Destroy all incriminating evidence",1
"Watching a play at the theater",0
"New shipment arriving tonight",1
"Working on a new project",0
"Make sure no one talks",1
"Attending a family gathering",0
"Coordinate the transfer with the boss",1
"Enjoying a quiet evening",0
"Ensure no one follows us",1
"Going to the dentist today",0
"Prepare the hideout for the new group",1
"Just finished a yoga session",0
"Check all routes for police presence",1
"Having dinner with the neighbors",0
"Urgent: need a new hideout",1
"Planning a surprise party",0
"Secure the back entrance",1
"Going to a book signing event",0
"Confirm the payment with the contact",1
"Taking a stroll downtown",0
"Hide the girls in the basement",1
"Going to a concert tonight",0
"Ensure all phones are off",1
"Spending the day with my kids",0
"Move the shipment without delay",1
"Enjoying a relaxing bath",0
"Get rid of any evidence",1
"Attending a business meeting",0
"Brief the team on the new plan",1
"Going to the zoo with family",0
"Secure the new location",1
"Just got home from work",0
"Inform the client about the new arrivals",1
"Cooking a big family dinner",0
"Make sure the police aren't involved",1
"Planning a road trip",0
"Arrange new IDs for the girls",1
"Watching TV with my spouse",0
"Move the goods before dawn",1
"Going to the movies tonight",0
"Ensure the warehouse is secure",1
"Having a picnic at the park",0
"Set up a new safe house",1
"Taking the dog for a walk",0
"Prepare the new arrivals for transport",1
"Enjoying a cup of coffee",0
"Contact the buyer about the shipment",1
"Going for a swim in the pool",0
"Ensure all cameras are off",1
"Visiting an old friend",0
"Coordinate the next operation",1
"Reading in my favorite chair",0
"Move them to the backup location",1
"Going to the market today",0
"Urgent: new IDs needed",1
"Planning a family outing",0
"Ensure all transactions are secure",1
"Visiting a new restaurant",0
"Transport the girls safely",1
"Going for a walk in the park",0
"Check all exits for security",1
"Spending the evening relaxing",0
"Prepare for the new shipment",1
"Meeting up with a colleague",0
"Contact the guard about tonight",1
"Enjoying a sunny day outside",0
"Secure all entrances",1
"Planning a movie night",0
"Ensure no one talks to outsiders",1
"Just got a new hobby",0
"Move the goods discreetly",1
"Reading a new book",0
"Arrange a new meeting spot",1
"Going to the gym later",0
"Check for any police presence",1
"Having a lazy Sunday",0
"Ensure the girls are safe",1
"Visiting my grandparents",0
"Prepare the new recruits",1
"Taking a break from work",0
"Make sure all phones are off",1
"Going to a music festival",0
"Confirm the new location",1
"Planning a dinner date",0
"Secure the hideout immediately",1
"Just finished gardening",0
"Move them to the safe house",1
"Having a relaxing evening",0
"Contact the handler for instructions",1
"Going to a sports event",0
"Ensure all money is laundered",1
"Spending time with my kids",0
"Prepare the transport for tonight",1
"Watching my favorite show",0
"Hide the girls in the warehouse",1
"Attending a local fair",0
"hello",0
"Get on automatic and bring in the cash while I'm away.",1
"Make sure you report any rule breakers. You're my bottom.",1
"You're getting branded tonight, so everyone knows you're mine.",1
"I'm setting up a new brothel, and I want you in it.",1
"You got caught a case, now you owe me even more.",1
"You're choosing up with me, and there's no going back.",1
"We're hitting the circuit, starting with San Diego.",1
"Call me Daddy from now on.",1
"Another date tonight, make sure you bring in the money.",1
"I'm sending you out with the escort service.",1
"Better pay that exit fee if you're even thinking about leaving.",1
"You're part of my family now, and you'll do as I say.",1
"I'm a finesse pimp, I'll control you without lifting a finger.",1
"You'll learn to fear me like a gorilla pimp.",1
"Find me some johns, we need the cash.",1
"Take her to the kiddie stroll, she'll fetch a high price there.",1
"Go work the lot lizard spots, we need more money.",1
"Madam's got a new job for you tonight.",1
"You're out of pocket until you prove you're loyal to me.",1
"We're forming a pimp circle tonight, time for some discipline.",1
"You better meet your quota tonight or face the consequences.",1
"Stop that reckless eyeballing, or you'll end up choosing up with someone else.",1
"He's a renegade, we need to bring him into the fold.",1
"Time for some seasoning, you need to learn your place.",1
"She's squaring up, but she won't get far.",1
"You're part of my stable now, and you'll work for me.",1
"Welcome to the game, where I call the shots.",1
"Take her to the track, she'll make us some money.",1
"Let's trade up for a better deal.",1
"Find me some tricks, we need the cash flow.",1
"She's turning out tonight, so make sure she brings in the money.",1
"Hey there, how's your day going?",0
"Good to see you! What have you been up to lately?",0
"Hi! What's new and exciting in your world?",0
"Hello! Mind if I join you?",0
"Hey, how's everything in your neck of the woods?",0
"Well, hello stranger! What's been happening in your life?",0
"Hi! Do you have a moment to chat?",0
"Hey, long time no see! What have you been busy with?",0
"Good afternoon! How's your day treating you so far?",0
"Hey, what's been on your mind lately?",0
"Hello! How are things going with you?",0
"Hi there! How's life treating you these days?",0
"Hey, how's the world treating you today?",0
"Hello! Any exciting plans for the day?",0
"Hey! What's the latest and greatest with you?",0
"Hi! Got a minute to catch up?",0
"Hey, how's your week been so far?",0
"Hello! What's the buzz in your corner of the universe?",0
"Hey there! How's everything in your world?",0
"Hi! Anything interesting happening lately?",0
"Fuck",1
"Shit",1
"Bitch",1
"Asshole",1
"Dick",1
"Cunt",1
"Bastard",1
"Damn",1
"Hell",1
"Pussy",1
"Wanker",1
"Prick",1
"Twat",1
"Arse",1
"Bollocks",1
"Bugger",1
"Git",1
"Knob",1
"Tosser",1
"Chode",1
"Motherfucker",1
"Shithead",1
"Douche",1
"Piss",1
"Scumbag",1
